조사기준일,시도,행정구역,학제,학교수,학급수계,1년학급수,2년학급수,3년학급수,4년학급수,5년학급수,6년학급수,학생수계,1년학생수,2년학생수,3년학생수,4년학생수,5년학생수,6년학생수,교원수계,교원수여자
20200401,서울,종로구,유치원,17 ,64 ,0 ,0 ,0 ,0 ,0 ,0 ,1180 ,0 ,0 ,0 ,0 ,0 ,0 ,101 ,98 
20200401,서울,종로구,초등학교,13 ,269 ,43 ,44 ,40 ,46 ,43 ,53 ,5192 ,764 ,928 ,846 ,905 ,854 ,895 ,452 ,390 
20200401,서울,종로구,중학교,9 ,134 ,45 ,44 ,45 ,0 ,0 ,0 ,2793 ,988 ,935 ,870 ,0 ,0 ,0 ,294 ,166 
20200401,서울,종로구,고등학교,14 ,367 ,119 ,123 ,125 ,0 ,0 ,0 ,8467 ,2839 ,2806 ,2822 ,0 ,0 ,0 ,858 ,440 
20200401,서울,종로구, (일반고),6 ,162 ,52 ,55 ,55 ,0 ,0 ,0 ,3531 ,1136 ,1201 ,1194 ,0 ,0 ,0 ,369 ,203 
20200401,서울,종로구, (특목고),3 ,72 ,24 ,24 ,24 ,0 ,0 ,0 ,1908 ,651 ,634 ,623 ,0 ,0 ,0 ,206 ,111 
20200401,서울,종로구, (특성화고),3 ,74 ,24 ,25 ,25 ,0 ,0 ,0 ,1310 ,476 ,420 ,414 ,0 ,0 ,0 ,144 ,76 
20200401,서울,종로구, (자율고),2 ,59 ,19 ,19 ,21 ,0 ,0 ,0 ,1718 ,576 ,551 ,591 ,0 ,0 ,0 ,139 ,50 
20200401,서울,종로구,특수학교,4 ,106 ,56 ,20 ,17 ,4 ,5 ,4 ,450 ,258 ,80 ,77 ,14 ,12 ,9 ,192 ,131 
20200401,서울,종로구,각종학교,3 ,31 ,7 ,2 ,22 ,0 ,0 ,0 ,119 ,40 ,40 ,39 ,0 ,0 ,0 ,73 ,43 
20200401,서울,종로구,계,60 ,971 ,270 ,233 ,249 ,50 ,48 ,57 ,18201 ,4889 ,4789 ,4654 ,919 ,866 ,904 ,1970 ,1268 
20200401,서울,중구,유치원,14 ,72 ,0 ,0 ,0 ,0 ,0 ,0 ,1038 ,0 ,0 ,0 ,0 ,0 ,0 ,97 ,96 
20200401,서울,중구,초등학교,12 ,243 ,41 ,41 ,40 ,37 ,40 ,44 ,4990 ,907 ,880 ,857 ,790 ,764 ,792 ,393 ,330 
20200401,서울,중구,중학교,8 ,111 ,37 ,36 ,38 ,0 ,0 ,0 ,1845 ,674 ,583 ,588 ,0 ,0 ,0 ,238 ,153 
20200401,서울,중구,고등학교,11 ,288 ,95 ,96 ,97 ,0 ,0 ,0 ,6731 ,2173 ,2280 ,2278 ,0 ,0 ,0 ,671 ,340 
20200401,서울,중구, (일반고),2 ,49 ,16 ,16 ,17 ,0 ,0 ,0 ,1116 ,368 ,376 ,372 ,0 ,0 ,0 ,107 ,42 
20200401,서울,중구, (특목고),1 ,18 ,6 ,6 ,6 ,0 ,0 ,0 ,406 ,139 ,132 ,135 ,0 ,0 ,0 ,38 ,23 
20200401,서울,중구, (특성화고),6 ,159 ,53 ,53 ,53 ,0 ,0 ,0 ,3587 ,1143 ,1225 ,1219 ,0 ,0 ,0 ,389 ,183 
20200401,서울,중구, (자율고),2 ,62 ,20 ,21 ,21 ,0 ,0 ,0 ,1622 ,523 ,547 ,552 ,0 ,0 ,0 ,137 ,92 
20200401,서울,중구,각종학교,3 ,38 ,11 ,13 ,14 ,0 ,0 ,0 ,1116 ,353 ,385 ,378 ,0 ,0 ,0 ,63 ,38 
20200401,서울,중구,계,48 ,752 ,184 ,186 ,189 ,37 ,40 ,44 ,15720 ,4107 ,4128 ,4101 ,790 ,764 ,792 ,1462 ,957 
20200401,서울,용산구,유치원,13 ,65 ,0 ,0 ,0 ,0 ,0 ,0 ,1344 ,0 ,0 ,0 ,0 ,0 ,0 ,115 ,114 
20200401,서울,용산구,초등학교,15 ,351 ,57 ,59 ,56 ,58 ,59 ,62 ,6870 ,1090 ,1200 ,1143 ,1138 ,1122 ,1177 ,568 ,507 
20200401,서울,용산구,중학교,9 ,166 ,55 ,52 ,59 ,0 ,0 ,0 ,3512 ,1238 ,1139 ,1135 ,0 ,0 ,0 ,332 ,230 
20200401,서울,용산구,고등학교,10 ,255 ,82 ,85 ,88 ,0 ,0 ,0 ,5470 ,1792 ,1849 ,1829 ,0 ,0 ,0 ,606 ,341 
20200401,서울,용산구, (일반고),6 ,149 ,48 ,50 ,51 ,0 ,0 ,0 ,3197 ,1051 ,1084 ,1062 ,0 ,0 ,0 ,345 ,194 
20200401,서울,용산구, (특성화고),3 ,83 ,27 ,27 ,29 ,0 ,0 ,0 ,1857 ,606 ,621 ,630 ,0 ,0 ,0 ,207 ,108 
20200401,서울,용산구, (자율고),1 ,23 ,7 ,8 ,8 ,0 ,0 ,0 ,416 ,135 ,144 ,137 ,0 ,0 ,0 ,54 ,39 
20200401,서울,용산구,계,47 ,837 ,194 ,196 ,203 ,58 ,59 ,62 ,17196 ,4120 ,4188 ,4107 ,1138 ,1122 ,1177 ,1621 ,1192 
20200401,서울,성동구,유치원,28 ,111 ,0 ,0 ,0 ,0 ,0 ,0 ,2110 ,0 ,0 ,0 ,0 ,0 ,0 ,175 ,174 
20200401,서울,성동구,초등학교,21 ,566 ,96 ,96 ,95 ,91 ,86 ,102 ,10992 ,1891 ,1967 ,1880 ,1794 ,1646 ,1814 ,919 ,802 
20200401,서울,성동구,중학교,11 ,219 ,72 ,71 ,76 ,0 ,0 ,0 ,4861 ,1732 ,1571 ,1558 ,0 ,0 ,0 ,433 ,334 
20200401,서울,성동구,고등학교,9 ,239 ,74 ,79 ,86 ,0 ,0 ,0 ,4594 ,1430 ,1448 ,1716 ,0 ,0 ,0 ,554 ,368 
20200401,서울,성동구, (일반고),4 ,105 ,33 ,36 ,36 ,0 ,0 ,0 ,2068 ,680 ,659 ,729 ,0 ,0 ,0 ,246 ,177 
20200401,서울,성동구, (특성화고),3 ,79 ,23 ,25 ,31 ,0 ,0 ,0 ,1128 ,292 ,360 ,476 ,0 ,0 ,0 ,185 ,109 
20200401,서울,성동구, (자율고),2 ,55 ,18 ,18 ,19 ,0 ,0 ,0 ,1398 ,458 ,429 ,511 ,0 ,0 ,0 ,123 ,82 
20200401,서울,성동구,계,69 ,1135 ,242 ,246 ,257 ,91 ,86 ,102 ,22557 ,5053 ,4986 ,5154 ,1794 ,1646 ,1814 ,2081 ,1678 
20200401,서울,광진구,유치원,31 ,125 ,0 ,0 ,0 ,0 ,0 ,0 ,2470 ,0 ,0 ,0 ,0 ,0 ,0 ,219 ,213 
20200401,서울,광진구,초등학교,22 ,639 ,100 ,110 ,108 ,105 ,102 ,114 ,14257 ,2244 ,2500 ,2400 ,2418 ,2272 ,2423 ,998 ,854 
20200401,서울,광진구,중학교,12 ,295 ,97 ,99 ,99 ,0 ,0 ,0 ,7337 ,2590 ,2455 ,2292 ,0 ,0 ,0 ,597 ,437 
20200401,서울,광진구,고등학교,9 ,284 ,93 ,96 ,95 ,0 ,0 ,0 ,7378 ,2470 ,2534 ,2374 ,0 ,0 ,0 ,604 ,335 
20200401,서울,광진구, (일반고),6 ,201 ,66 ,68 ,67 ,0 ,0 ,0 ,5024 ,1679 ,1742 ,1603 ,0 ,0 ,0 ,440 ,234 
