연도,시도,구분,교과명,지원자,응시자,합격자
2004,서울,초등,,"1,570",-,665
2004,부산,초등,,581,-,350
2004,대구,초등,,789,-,375
2004,인천,초등,,697,-,405
2004,광주,초등,,848,-,400
2004,대전,초등,,502,-,150
2004,울산,초등,,254,-,241
2004,경기,초등,,"3,192",-,"2,774"
2004,강원,초등,,340,-,338
2004,충북,초등,,401,-,391
2004,충남,초등,,977,-,781
2004,전북,초등,,411,-,370
2004,전남,초등,,975,-,400
2004,경북,초등,,579,-,492
2004,경남,초등,,808,-,648
2004,제주,초등,,127,-,115
2004,계,초등,,"13,051",-,"8,895"
2005,서울,초등,,"1,348",-,590
2005,부산,초등,,388,-,200
2005,대구,초등,,437,-,340
2005,인천,초등,,537,-,220
2005,광주,초등,,489,-,250
2005,대전,초등,,453,-,175
2005,울산,초등,,499,-,220
2005,경기,초등,,"2,580",-,"1,100"
2005,강원,초등,,283,-,200
2005,충북,초등,,277,-,266
2005,충남,초등,,"1,253",-,830
2005,전북,초등,,388,-,295
2005,전남,초등,,685,-,500
2005,경북,초등,,229,-,220
2005,경남,초등,,"1,011",-,670
2005,제주,초등,,138,-,115
2005,계,초등,,"10,995",-,"6,191"
2006,서울,초등,,"1,729",-,810
2006,부산,초등,,304,-,100
2006,대구,초등,,766,-,450
2006,인천,초등,,739,-,350
2006,광주,초등,,515,-,300
2006,대전,초등,,656,-,300
2006,울산,초등,,584,-,240
2006,경기,초등,,"2,716",-,"1,400"
2006,강원,초등,,430,-,260
2006,충북,초등,,494,-,250
2006,충남,초등,,649,-,320
2006,전북,초등,,530,-,310
2006,전남,초등,,631,-,350
2006,경북,초등,,534,-,229
2006,경남,초등,,"1,182",-,770
2006,제주,초등,,190,-,146
2006,계,초등,,"12,649",-,"6,585"
2007,서울,초등,,"1,617",-,800
2007,부산,초등,,124,-,60
2007,대구,초등,,358,-,190
2007,인천,초등,,616,-,366
2007,광주,초등,,475,-,175
2007,대전,초등,,433,-,180
2007,울산,초등,,279,-,100
2007,경기,초등,,"1,285",-,750
